Array size;Fill function;Pivot function;Time elapsed[s]
340000;Non-decreasing;Begin;18.501
350000;Random;Begin;0.584
350000;Only 0 to 100 values;Begin;0.158
350000;Non-decreasing;Begin;19.340
360000;Random;Begin;0.599
360000;Only 0 to 100 values;Begin;0.170
360000;Non-decreasing;Begin;20.173
370000;Random;Begin;0.632
370000;Only 0 to 100 values;Begin;0.156
370000;Non-decreasing;Begin;21.009
380000;Random;Begin;0.644
380000;Only 0 to 100 values;Begin;0.175
380000;Non-decreasing;Begin;21.896
390000;Random;Begin;0.649
390000;Only 0 to 100 values;Begin;0.205
390000;Non-decreasing;Begin;22.752
400000;Random;Begin;0.688
400000;Only 0 to 100 values;Begin;0.183
400000;Non-decreasing;Begin;23.627
410000;Random;Begin;0.680
410000;Only 0 to 100 values;Begin;0.204
410000;Non-decreasing;Begin;24.517
420000;Random;Begin;0.715
420000;Only 0 to 100 values;Begin;0.171
420000;Non-decreasing;Begin;25.828
430000;Random;Begin;0.753
430000;Only 0 to 100 values;Begin;0.194
430000;Non-decreasing;Begin;26.324
440000;Random;Begin;0.757
440000;Only 0 to 100 values;Begin;0.188
440000;Non-decreasing;Begin;27.234
450000;Random;Begin;0.783
450000;Only 0 to 100 values;Begin;0.250
450000;Non-decreasing;Begin;28.182
460000;Random;Begin;0.791
460000;Only 0 to 100 values;Begin;0.185
460000;Non-decreasing;Begin;29.172
470000;Random;Begin;0.829
470000;Only 0 to 100 values;Begin;0.203
470000;Non-decreasing;Begin;30.160
480000;Random;Begin;0.852
480000;Only 0 to 100 values;Begin;0.226
480000;Non-decreasing;Begin;31.047
490000;Random;Begin;0.806
490000;Only 0 to 100 values;Begin;0.249
490000;Non-decreasing;Begin;32.000
500000;Random;Begin;0.856
500000;Only 0 to 100 values;Begin;0.216
500000;Non-decreasing;Begin;33.020
510000;Random;Begin;0.880
510000;Only 0 to 100 values;Begin;0.249
510000;Non-decreasing;Begin;34.050
520000;Random;Begin;0.884
520000;Only 0 to 100 values;Begin;0.227
520000;Non-decreasing;Begin;34.990
530000;Random;Begin;0.905
530000;Only 0 to 100 values;Begin;0.247
530000;Non-decreasing;Begin;36.111
540000;Random;Begin;0.957
540000;Only 0 to 100 values;Begin;0.253
540000;Non-decreasing;Begin;37.034
550000;Random;Begin;0.952
550000;Only 0 to 100 values;Begin;0.233
550000;Non-decreasing;Begin;38.051
560000;Random;Begin;0.965
560000;Only 0 to 100 values;Begin;0.259
560000;Non-decreasing;Begin;39.106
570000;Random;Begin;0.987
570000;Only 0 to 100 values;Begin;0.262
