Array size,Fill function,Pivot function,Time elapsed[s]
680000,Random,Begin,1.188
680000,Only 0 to 100 values,Begin,0.313
680000,Non-decreasing,Begin,53.087
690000,Random,Begin,1.205
690000,Only 0 to 100 values,Begin,0.28
690000,Non-decreasing,Begin,54.278
700000,Random,Begin,1.226
700000,Only 0 to 100 values,Begin,0.304
700000,Non-decreasing,Begin,55.468
710000,Random,Begin,1.298
710000,Only 0 to 100 values,Begin,0.369
710000,Non-decreasing,Begin,56.677
720000,Random,Begin,1.252
720000,Only 0 to 100 values,Begin,0.294
720000,Non-decreasing,Begin,57.867
730000,Random,Begin,1.262
730000,Only 0 to 100 values,Begin,0.308
730000,Non-decreasing,Begin,59.133
740000,Random,Begin,1.265
740000,Only 0 to 100 values,Begin,0.301
740000,Non-decreasing,Begin,60.292
750000,Random,Begin,1.312
750000,Only 0 to 100 values,Begin,0.376
750000,Non-decreasing,Begin,61.559
760000,Random,Begin,1.394
760000,Only 0 to 100 values,Begin,0.356
760000,Non-decreasing,Begin,62.675
770000,Random,Begin,1.328
770000,Only 0 to 100 values,Begin,0.431
770000,Non-decreasing,Begin,63.727
780000,Random,Begin,1.362
780000,Only 0 to 100 values,Begin,0.314
780000,Non-decreasing,Begin,64.905
790000,Random,Begin,1.359
790000,Only 0 to 100 values,Begin,0.386
790000,Non-decreasing,Begin,66.03
800000,Random,Begin,1.392
800000,Only 0 to 100 values,Begin,0.441
800000,Non-decreasing,Begin,67.357
810000,Random,Begin,1.439
810000,Only 0 to 100 values,Begin,0.309
810000,Non-decreasing,Begin,68.585
820000,Random,Begin,1.412
820000,Only 0 to 100 values,Begin,0.403
820000,Non-decreasing,Begin,69.964
830000,Random,Begin,1.482
830000,Only 0 to 100 values,Begin,0.332
830000,Non-decreasing,Begin,71.26
840000,Random,Begin,1.453
840000,Only 0 to 100 values,Begin,0.452
840000,Non-decreasing,Begin,72.415
850000,Random,Begin,1.538
850000,Only 0 to 100 values,Begin,0.464
850000,Non-decreasing,Begin,73.749
860000,Random,Begin,1.554
860000,Only 0 to 100 values,Begin,0.379
860000,Non-decreasing,Begin,75.373
870000,Random,Begin,1.568
870000,Only 0 to 100 values,Begin,0.365
870000,Non-decreasing,Begin,76.591
880000,Random,Begin,1.607
880000,Only 0 to 100 values,Begin,0.37
880000,Non-decreasing,Begin,77.552
890000,Random,Begin,1.548
890000,Only 0 to 100 values,Begin,0.473
890000,Non-decreasing,Begin,79.12
900000,Random,Begin,1.61
900000,Only 0 to 100 values,Begin,0.457
900000,Non-decreasing,Begin,80.176
910000,Random,Begin,1.673
910000,Only 0 to 100 values,Begin,0.413
910000,Non-decreasing,Begin,81.795
920000,Random,Begin,1.654
920000,Only 0 to 100 values,Begin,0.445
920000,Non-decreasing,Begin,83.3
930000,Random,Begin,1.691
930000,Only 0 to 100 values,Begin,0.406
930000,Non-decreasing,Begin,83.497
940000,Random,Begin,1.643
940000,Only 0 to 100 values,Begin,0.385
940000,Non-decreasing,Begin,85.471
950000,Random,Begin,1.786
950000,Only 0 to 100 values,Begin,0.429
950000,Non-decreasing,Begin,86.693
960000,Random,Begin,1.707
960000,Only 0 to 100 values,Begin,0.439
960000,Non-decreasing,Begin,88.475
970000,Random,Begin,1.743
970000,Only 0 to 100 values,Begin,0.434
970000,Non-decreasing,Begin,89.173
980000,Random,Begin,1.736
980000,Only 0 to 100 values,Begin,0.422
980000,Non-decreasing,Begin,91.423
990000,Random,Begin,1.822
