Array size;Fill function;Pivot function;Time elapsed[s]
760;Non-decreasing;Begin;0.001
770;Random;Begin;0.001
770;Only 0 to 100 values;Begin;0.001
770;Non-decreasing;Begin;0.001
780;Random;Begin;0.000
780;Only 0 to 100 values;Begin;0.000
780;Non-decreasing;Begin;0.001
790;Random;Begin;0.001
790;Only 0 to 100 values;Begin;0.001
790;Non-decreasing;Begin;0.001
800;Random;Begin;0.000
800;Only 0 to 100 values;Begin;0.000
800;Non-decreasing;Begin;0.000
810;Random;Begin;0.000
810;Only 0 to 100 values;Begin;0.000
810;Non-decreasing;Begin;0.001
820;Random;Begin;0.000
820;Only 0 to 100 values;Begin;0.000
820;Non-decreasing;Begin;0.001
830;Random;Begin;0.001
830;Only 0 to 100 values;Begin;0.000
830;Non-decreasing;Begin;0.001
840;Random;Begin;0.001
840;Only 0 to 100 values;Begin;0.000
840;Non-decreasing;Begin;0.001
850;Random;Begin;0.001
850;Only 0 to 100 values;Begin;0.001
850;Non-decreasing;Begin;0.001
860;Random;Begin;0.000
860;Only 0 to 100 values;Begin;0.000
860;Non-decreasing;Begin;0.001
870;Random;Begin;0.001
870;Only 0 to 100 values;Begin;0.001
870;Non-decreasing;Begin;0.000
880;Random;Begin;0.001
880;Only 0 to 100 values;Begin;0.001
880;Non-decreasing;Begin;0.001
890;Random;Begin;0.001
890;Only 0 to 100 values;Begin;0.001
890;Non-decreasing;Begin;0.001
900;Random;Begin;0.000
900;Only 0 to 100 values;Begin;0.000
900;Non-decreasing;Begin;0.001
910;Random;Begin;0.000
910;Only 0 to 100 values;Begin;0.001
910;Non-decreasing;Begin;0.001
920;Random;Begin;0.001
920;Only 0 to 100 values;Begin;0.001
920;Non-decreasing;Begin;0.001
930;Random;Begin;0.000
930;Only 0 to 100 values;Begin;0.000
930;Non-decreasing;Begin;0.001
940;Random;Begin;0.000
940;Only 0 to 100 values;Begin;0.000
940;Non-decreasing;Begin;0.001
950;Random;Begin;0.001
950;Only 0 to 100 values;Begin;0.001
950;Non-decreasing;Begin;0.001
960;Random;Begin;0.001
960;Only 0 to 100 values;Begin;0.000
960;Non-decreasing;Begin;0.001
970;Random;Begin;0.001
970;Only 0 to 100 values;Begin;0.000
970;Non-decreasing;Begin;0.002
980;Random;Begin;0.001
980;Only 0 to 100 values;Begin;0.001
980;Non-decreasing;Begin;0.001
990;Random;Begin;0.000
990;Only 0 to 100 values;Begin;0.001
990;Non-decreasing;Begin;0.001
1000;Random;Begin;0.000
1000;Only 0 to 100 values;Begin;0.001
1000;Non-decreasing;Begin;0.001
10;Random;Median of 3 elements;0.000
10;Only 0 to 100 values;Median of 3 elements;0.000
10;Non-decreasing;Median of 3 elements;0.000
20;Random;Median of 3 elements;0.000
20;Only 0 to 100 values;Median of 3 elements;0.000
20;Non-decreasing;Median of 3 elements;0.000
30;Random;Median of 3 elements;0.000
30;Only 0 to 100 values;Median of 3 elements;0.000
30;Non-decreasing;Median of 3 elements;0.000
40;Random;Median of 3 elements;0.000
40;Only 0 to 100 values;Median of 3 elements;0.000
40;Non-decreasing;Median of 3 elements;0.000
50;Random;Median of 3 elements;0.001
50;Only 0 to 100 values;Median of 3 elements;0.000
50;Non-decreasing;Median of 3 elements;0.000
60;Random;Median of 3 elements;0.000
60;Only 0 to 100 values;Median of 3 elements;0.000
60;Non-decreasing;Median of 3 elements;0.000
70;Random;Median of 3 elements;0.000
70;Only 0 to 100 values;Median of 3 elements;0.000
70;Non-decreasing;Median of 3 elements;0.000
80;Random;Median of 3 elements;0.000
80;Only 0 to 100 values;Median of 3 elements;0.000
80;Non-decreasing;Median of 3 elements;0.000
90;Random;Median of 3 elements;0.000
90;Only 0 to 100 values;Median of 3 elements;0.000
90;Non-decreasing;Median of 3 elements;0.000
